% Graph saved at Wed Dec 05 2018 12:43:56 GMT+0100 (heure normale d’Europe centrale)
n 40.75948015044007 267.47572074816065
n 243.4493535681616 453.15533239864607
n 241 100
n 406.2658092643641 455.5825168646655
n 239.01897382132617 333.0097013306849
n 237.9113788846173 191.019410068549
n 248.9873282517059 -14.077677310091778
n 589.0189738213262 240.77669162194707
n 401.8354295175287 226.21358482583057
n 389.6518852137312 351.21358482583054
n 406.2658092643641 116.99028385495677
n 390.75948015044 -3.1553472130043994
e 0 1 1
e 0 2 4
e 0 7 0
e 0 6 1
e 0 4 0
e 1 3 2
e 4 10 0
e 7 12 0
e 3 8 1
e 10 8 0
e 9 8 0
e 11 8 1
e 12 8 0
e 6 3 1
e 2 10 0
e 2 9 0
e 7 11 0
e 1 11 1
