% Graph saved at Tue Nov 27 2018 18:09:53 GMT+0100 (heure normale d’Europe centrale)
n 13.069606732718553 301.4563032724325
n 303.2594801504401 473.7864003598111
n 198.0379611630983 331.7961090976752
n 338.7025181251236 308.73785667049077
n 483 437
n 481 335
n 273.35441685930084 215.29125472874316
n 646 268
n 675.4113788846173 194.66018676757812
n 153.73416369474387 127.91261395204414
n 147.0885940744907 458.0097013306849
n 674.3037839479084 411.893196476316
n 633.3227712896806 74.51455569961696
n 488.22783458081983 23.54368191320919
n 502.62656875803503 197.08737123359754
n 89.49365736562994 187.3786333695199
n 202.46834090993377 1.6990217190344357
n 385.2215054668958 198.30096346660724
n 294.39872065676917 47.81552657340337
n 116.07593584664261 32.038827544277154
e 3 5 8
e 3 4 20
e 4 5 1
e 2 3 26
e 1 4 13
e 1 3 10
e 0 2 1
e 0 1 38
e 1 2 8
e 4 7 7
e 5 7 7
e 3 7 1
e 6 7 27
e 3 6 24
e 0 6 2
e 4 2 2
e 15 0 10
e 15 9 22
e 16 19 110
e 9 19 11
e 9 6 1
e 6 18 8
e 18 17 1
e 14 13 7
e 13 12 10
e 14 8 3
e 8 12 6
e 18 13 2
e 17 14 4
e 7 8 4
e 16 18 50
e 10 1 17
e 10 0 7
e 11 4 121
e 11 7 12
e 14 12 7
e 3 17 0
