% Graph saved at Wed Jan 09 2019 17:50:17 GMT+0100 (CET)
n -8.528477632546727 279.61164307825777
n 237.35759831682037 335.43688579670436
n 234.03481350669378 148.54368191320918
n 382.4525181251236 216.50484696175286
n 222.95886413960517 34.46601201029657
n 235.14240844340264 223.78640035981113
n 246.21834090993377 462.86407026272377
n 649.3828978719591 262.62135181612183
n 378.02213837828816 144.90290521418007
n 386.8828978719591 27.18445861223832
n 384.66770799854135 335.43688579670436
n 392.42087255550337 453.15533239864607
e 0 1 2
e 0 2 4
e 1 3 1
e 0 4 1
e 0 5 1
e 0 6 1
e 1 10 1
e 6 11 1
e 6 10 1
e 5 3 1
e 2 8 1
e 2 9 1
e 4 9 1
e 9 7 1
e 8 7 1
e 3 7 1
e 10 7 1
e 11 7 1
