% Graph saved at Wed Dec 05 2018 20:26:33 GMT+0100 (CET)
n 54.050636291503906 280.8252353112675
n 227.94304135479504 408.2524197772869
n 234.5886109750482 143.68931298117036
n 383.00631559347806 502.9126139520441
n 225.7278345808198 234.70873045689854
n 226.83544641808618 489.5630993889373
n 225.72785148137731 307.52426443748107
n 541.3923915428451 286.893196476316
n 405.15821432765523 140.04853628214124
n 398.5126447074021 208.00970133068492
n 388.5442902770224 374.271837253015
n 389.6518852137312 278.39805084524806
e 0 4 2
e 0 7 1
e 0 1 2
e 0 6 1
e 0 2 2
e 2 9 2
e 7 12 1
e 1 11 1
e 11 8 1
e 12 8 1
e 10 8 1
e 3 8 2
e 9 8 2
e 6 3 2
e 1 3 1
e 7 11 1
e 4 10 2
e 2 10 1
